Date,Open,High,Low,Close
03/01/2000,6961.72,7159.33,6720.87,6750.76
04/01/2000,6747.24,6755.36,6510.46,6586.95
05/01/2000,6585.85,6585.85,6388.91,6502.07
06/01/2000,6501.45,6539.31,6402.63,6474.92
07/01/2000,6489.94,6791.53,6470.14,6780.96
10/01/2000,6785.47,6975.26,6785.47,6925.52
11/01/2000,6926.04,6943.83,6821.26,6891.25
12/01/2000,6878.92,6913.5,6783.22,6912.81
13/01/2000,6913.13,7106.45,6898.69,6955.98
14/01/2000,6960.29,7207.45,6960.29,7173.22
17/01/2000,7177.48,7297.04,7112.97,7258.9
18/01/2000,7262.21,7306.48,7053.86,7072.12
19/01/2000,7065.31,7110.19,6987.12,7091.04
20/01/2000,7095.98,7230.75,7076.81,7112.66
21/01/2000,7103.7,7103.7,6939.94,6992.75
24/01/2000,6987.59,7092.5,6921.97,6931.99
25/01/2000,6928.08,6928.08,6809.64,6809.64
26/01/2000,6838.05,6980.93,6838.05,6969.37
27/01/2000,6983.42,7169.87,6944.65,7126.13
28/01/2000,7128.01,7214.58,7040.49,7066.6
31/01/2000,7054.24,7054.24,6816.54,6835.6
01/02/2000,6841.12,7052.22,6841.12,7050.46
02/02/2000,7063.57,7172.05,7038.71,7171.95
03/02/2000,7175.87,7354.56,7134.42,7354.26
04/02/2000,7355.69,7491.79,7338.15,7444.61
07/02/2000,7450.79,7450.79,7270.4,7296.32
08/02/2000,7295.61,7570.55,7263.19,7549.88
09/02/2000,7566.68,7676.56,7526.08,7629.11
10/02/2000,7617.07,7709.27,7496.42,7709.27
11/02/2000,7724.36,7812.09,7586.26,7611.55
14/02/2000,7569.01,7660.39,7542.3,7644.8
15/02/2000,7636.41,7699.97,7396.13,7396.13
16/02/2000,7401.26,7596.9,7342.65,7490.32
17/02/2000,7478.32,7637.46,7394.02,7580.53
18/02/2000,7584.39,7658.88,7543.5,7573.78
21/02/2000,7568.34,7590.53,7447.71,7590.53
22/02/2000,7580.38,7725.5,7540.36,7607.94
23/02/2000,7619.83,7772.28,7619.83,7698.97
24/02/2000,7696.92,7813.2,7587.08,7640.53
25/02/2000,7668.7,7776.84,7640.69,7738.68
28/02/2000,7732.9,7747.37,7492.23,7587.13
29/02/2000,7590.9,7700.36,7590.9,7644.55
01/03/2000,7645.3,7769.01,7618.6,7727.93
02/03/2000,7720.9,7950.66,7639.93,7945.77
03/03/2000,7952.28,8022.48,7874.57,7960.03
06/03/2000,7960.09,8030.59,7925.2,7975.78
07/03/2000,7971.23,8136.16,7922.32,8064.97
08/03/2000,8069.98,8097.68,7949.38,7987
09/03/2000,7984.21,8084.92,7877.19,7949.15
10/03/2000,7952.51,8076.31,7952.51,7975.95
13/03/2000,7977.06,7991.07,7630.31,7693.85
14/03/2000,7695.79,7757.03,7630.1,7650.05
15/03/2000,7633.2,7633.2,7411.76,7414.46
16/03/2000,7416.64,7648.28,7416.64,7583.96
17/03/2000,7594.99,7834.54,7574.52,7710.92
20/03/2000,7716.24,7887.97,7716.24,7872.38
21/03/2000,7865.48,7865.48,7735.74,7807.93
22/03/2000,7827.56,7949.72,7787.09,7798.62
23/03/2000,7803.69,7873.03,7677.08,7694.78
24/03/2000,7706.5,7932.42,7706.5,7932.42
27/03/2000,7932.71,7939.92,7832.06,7892.49
28/03/2000,7891.15,8031.21,7880.12,7931.93
29/03/2000,7930.82,7963.7,7859.44,7864.76
30/03/2000,7834.56,7849.53,7610.51,7644.89
31/03/2000,7649.88,7704.28,7522.7,7599.39
03/04/2000,7599.78,7641.53,7404.37,7429.22
04/04/2000,7431.42,7566.92,7430.18,7522.8
05/04/2000,7502.09,7538.72,7205.86,7330.77
06/04/2000,7345.01,7480.13,7325.72,7446.21
07/04/2000,7470.39,7533.36,7399.81,7522.2
10/04/2000,7534.91,7614.81,7507.93,7516.95
11/04/2000,7513.12,7513.12,7366.49,7442.66
12/04/2000,7438.26,7517.75,7414.38,7443.07
13/04/2000,7421.06,7450.39,7302.82,7449.06
14/04/2000,7440.05,7440.05,7168.9,7214.83
17/04/2000,7201.66,7201.66,6890.96,7187.14
18/04/2000,7186.18,7305.03,7094.92,7196.49
19/04/2000,7204.33,7305.94,7146.52,7216.71
20/04/2000,7216.22,7242.8,7157.95,7157.95
25/04/2000,7164.15,7317.06,7096.38,7280.51
26/04/2000,7293.1,7444.28,7293.1,7388.55
27/04/2000,7386.61,7413.82,7156.83,7221.74
28/04/2000,7223.27,7436.45,7223.27,7414.68
02/05/2000,7407.53,7561.67,7405.7,7555.92
03/05/2000,7547.91,7571.72,7362.75,7376.93
04/05/2000,7388.68,7419.74,7321.43,7386.71
05/05/2000,7391.62,7530.82,7333.48,7530.82
08/05/2000,7532.97,7532.97,7383.22,7408.09
09/05/2000,7407.89,7407.95,7225.18,7280.54
10/05/2000,7273.56,7313.27,7102.59,7120.86
11/05/2000,7111.28,7277.56,7013.7,7259.48
12/05/2000,7269.87,7331.03,7206.09,7269.28
15/05/2000,7266.08,7278.03,7188.25,7195.15
16/05/2000,7203.58,7398.48,7203.58,7371.06
17/05/2000,7370.18,7378.57,7197.83,7211.51
18/05/2000,7214.5,7258.61,7158.54,7181.58
19/05/2000,7182.46,7182.46,6958.92,6989.03
22/05/2000,6983.46,7040.57,6818.7,6912.96
23/05/2000,6918.93,7017.24,6883.39,6927.69
24/05/2000,6920.14,6920.14,6794.08,6834.88
25/05/2000,6846.37,6998.31,6846.37,6978.87
26/05/2000,6969.01,6972.21,6833.11,6839.33
29/05/2000,6956.14,7029.8,6956.14,7016.66
30/05/2000,7024.6,7150.5,7024.6,7119.26
31/05/2000,7127.26,7213.98,7101.14,7109.67
01/06/2000,7117.57,7277.52,7117.57,7272.76
02/06/2000,7286.19,7460.51,7246.17,7438.95
05/06/2000,7456.22,7486.4,7354.84,7408.02
06/06/2000,7404.78,7464.76,7298.23,7359.8
07/06/2000,7363.66,7363.66,7241.58,7285.93
08/06/2000,7293.74,7390.5,7211.97,7253.46
09/06/2000,7246.46,7354.32,7233.65,7246.79
