Date,Open,High,Low,Close
04/01/2000,3152.5,3152.5,3122.4,3124.1
05/01/2000,3124.1,3124.1,3035.3,3050.9
06/01/2000,3050.9,3075.4,3026,3030.1
07/01/2000,3030.1,3048.3,3016.2,3044.5
10/01/2000,3044.5,3111.5,3044.5,3103.1
11/01/2000,3103.1,3173.9,3103.1,3164.6
12/01/2000,3164.6,3164.6,3095.5,3104.6
13/01/2000,3104.6,3105.9,3089,3095.8
14/01/2000,3095.8,3131.6,3095.8,3131.6
17/01/2000,3131.6,3147.5,3131,3139.9
18/01/2000,3139.9,3157.1,3127.2,3151.2
19/01/2000,3151.2,3151.2,3104.1,3105.4
20/01/2000,3105.4,3139.5,3079.5,3137.1
21/01/2000,3137.1,3137.1,3097.6,3103.4
24/01/2000,3103.4,3115.4,3096.4,3096.6
25/01/2000,3096.6,3096.6,3048.1,3078.6
26/01/2000,3096.6,3096.6,3048.1,3078.6
27/01/2000,3078.6,3089.4,3072,3083.4
28/01/2000,3083.4,3107.1,3082,3092.1
31/01/2000,3092.1,3096,3069.4,3096
01/02/2000,3096,3108.7,3077.8,3084.5
02/02/2000,3084.5,3124.2,3084.5,3116.3
03/02/2000,3116.3,3135.5,3103,3135.1
04/02/2000,3135.1,3141.7,3115.1,3115.1
07/02/2000,3115.1,3138.3,3113.4,3130.4
08/02/2000,3130.4,3141.5,3120.5,3124
09/02/2000,3124,3159.6,3124,3134
10/02/2000,3134,3175.3,3120.5,3172.5
11/02/2000,3172.5,3174.7,3145.3,3167.1
14/02/2000,3167.1,3167.1,3128.6,3135.3
15/02/2000,3135.3,3168.5,3135.3,3158.1
16/02/2000,3158.1,3194.2,3145.9,3148.3
17/02/2000,3145.5,3154.3,3124.3,3144.9
18/02/2000,3144.9,3157.2,3114.3,3120.1
21/02/2000,3120.1,3122,3083.5,3117.1
22/02/2000,3117.1,3123.2,3097.4,3101.2
23/02/2000,3101.2,3126.3,3096.1,3112.5
24/02/2000,3112.5,3133.7,3101.3,3106.9
25/02/2000,3106.9,3129.7,3088.6,3123.7
28/02/2000,3123.7,3126.3,3108.1,3118
29/02/2000,3118,3151,3118,3135.7
01/03/2000,3135.7,3195.7,3127.4,3192.6
02/03/2000,3192.6,3228.3,3192.6,3220
03/03/2000,3220,3255.7,3203.1,3225.8
06/03/2000,3225.8,3255.2,3219.4,3232.1
07/03/2000,3232.1,3251,3207.5,3251
08/03/2000,3251,3253.4,3201.2,3218.5
09/03/2000,3218.5,3218.9,3185.5,3196.6
10/03/2000,3196.6,3220,3196,3199.5
13/03/2000,3199.5,3208.3,3179.5,3190.3
14/03/2000,3190.3,3190.3,3160.1,3187.4
15/03/2000,3187.4,3187.4,3153.1,3163.5
16/03/2000,3163.5,3197.6,3163.5,3180.2
17/03/2000,3180.2,3252.2,3180.2,3203.4
20/03/2000,3203.4,3229.1,3199.3,3228.1
21/03/2000,3228.1,3247.4,3224.8,3242.2
22/03/2000,3242.2,3276.2,3242.2,3274.1
23/03/2000,3274.1,3276.7,3238.9,3243.5
24/03/2000,3243.5,3259.7,3233.9,3247.4
27/03/2000,3247.4,3255.5,3223.9,3225.6
28/03/2000,3225.6,3240.8,3204,3240.8
29/03/2000,3240.8,3246.2,3219.3,3228.5
30/03/2000,3228.5,3228.5,3194.8,3194.8
31/03/2000,3194.8,3194.8,3133.3,3133.3
03/04/2000,3133.3,3183.2,3133.3,3183.2
04/04/2000,3183.2,3189.4,3158.5,3163.5
05/04/2000,3163.5,3163.5,3125.7,3137.8
06/04/2000,3137.8,3150.4,3124.2,3142.4
07/04/2000,3142.4,3178.8,3142.4,3168.2
10/04/2000,3168.2,3187.3,3166.1,3187.3
11/04/2000,3187.3,3187.3,3148,3155.4
12/04/2000,3155.4,3155.4,3123.7,3133.4
13/04/2000,3133.4,3133.4,3074.9,3084.7
14/04/2000,3084.7,3097.8,3059.6,3096
17/04/2000,3096,3096,2883,2920
18/04/2000,2920,3011.2,2919.9,2986.5
19/04/2000,2986.5,3046,2986.5,3042.3
20/04/2000,3042.3,3044.9,3013.1,3041.5
26/04/2000,3041.5,3095.9,3041.5,3084.5
27/04/2000,3084.5,3084.5,3058.4,3073.1
28/04/2000,3073.1,3087.9,3056.7,3085.1
01/05/2000,3085.1,3093.9,3071.8,3071.8
02/05/2000,3071.8,3099.8,3071.8,3099.1
03/05/2000,3099.1,3099.1,3073.2,3076.7
04/05/2000,3076.7,3076.7,3021.9,3025.9
05/05/2000,3025.9,3075.6,3025.9,3075.6
08/05/2000,3075.6,3091.8,3073.2,3075.1
09/05/2000,3075.1,3075.6,3054.6,3054.6
10/05/2000,3054.6,3054.6,3003,3011.8
11/05/2000,3011.8,3011.8,2958.2,2966.8
12/05/2000,2966.8,3012.7,2966.8,3004
15/05/2000,3004,3025.5,3001.2,3018.6
16/05/2000,3018.6,3054.2,3018.6,3053.1
17/05/2000,3053.1,3055.6,3033.9,3040.1
18/05/2000,3040.1,3040.1,3009.2,3011.9
19/05/2000,3011.9,3018.8,3000,3005.4
22/05/2000,3005.4,3005.4,2962.8,2969
23/05/2000,2969,2985.9,2969,2985.9
24/05/2000,2985.9,2985.9,2951.8,2972.2
