"Date","Open","High","Low","Close","atr","sma","Diff","aroonUp","aroonDn","oscillator","mom","hi","lw","Hammer","InvertedHammer","Doji","DragonflyDoji","GravestoneDoji","Bull.Engulfing","Bear.Engulfing"
2000-01-03,6962,7159,6721,6751,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
2000-01-04,6747,6755,6510,6587,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-05,6586,6586,6389,6502,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-06,6501,6539,6403,6475,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-07,6490,6792,6470,6781,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-10,6785,6975,6785,6926,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-11,6926,6944,6821,6891,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-12,6879,6914,6783,6913,NA,NA,NA,NA,NA,NA,NA,177,-132,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-13,6913,7106,6899,6956,NA,NA,NA,NA,NA,NA,NA,177,-132,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-14,6960,7207,6960,7173,NA,6796,377,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-17,7177,7297,7113,7259,NA,6846,413,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-18,7262,7306,7054,7072,NA,6895,177,NA,NA,NA,NA,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2000-01-19,7065,7110,6987,7091,NA,6954,137,NA,NA,NA,340,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-20,7096,7231,7077,7113,NA,7018,95,NA,NA,NA,526,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-21,7104,7104,6940,6993,192,7039,-46,NA,NA,NA,491,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-24,6988,7092,6922,6932,191,7039,-107,NA,NA,NA,457,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-25,6928,6928,6810,6810,186,7031,-221,NA,NA,NA,29,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-26,6838,6981,6838,6969,185,7037,-68,NA,NA,NA,43,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-27,6983,7170,6945,7126,188,7054,72,NA,NA,NA,235,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2000-01-28,7128,7215,7040,7067,187,7043,24,NA,NA,NA,154,177,-132,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
